Year,Temperature
1880,-0.16
1881,-0.12
1882,-0.10
1883,-0.18
1884,-0.28
1885,-0.32
1886,-0.31
1887,-0.35
1888,-0.22
1889,-0.15
1890,-0.37
1891,-0.24
1892,-0.29
1893,-0.36
1894,-0.31
1895,-0.25
1896,-0.16
1897,-0.12
1898,-0.28
1899,-0.19
1900,-0.10
1901,-0.16
1902,-0.29
1903,-0.37
1904,-0.44
1905,-0.32
1906,-0.28
1907,-0.42
1908,-0.43
1909,-0.48
1910,-0.44
1911,-0.43
1912,-0.39
1913,-0.37
1914,-0.20
1915,-0.13
1916,-0.35
1917,-0.46
1918,-0.31
1919,-0.28
1920,-0.28
1921,-0.20
1922,-0.29
1923,-0.27
1924,-0.28
1925,-0.22
1926,-0.12
1927,-0.22
1928,-0.21
1929,-0.37
1930,-0.17
1931,-0.11
1932,-0.17
1933,-0.30
1934,-0.14
1935,-0.21
1936,-0.16
1937,-0.03
1938,0.00
1939,-0.02
1940,0.11
1941,0.15
1942,0.06
1943,0.07
1944,0.19
1945,0.07
1946,-0.08
1947,-0.06
1948,-0.10
1949,-0.11
1950,-0.18
1951,-0.08
1952,0.01
1953,0.07
1954,-0.14
1955,-0.15
1956,-0.20
1957,0.04
1958,0.06
1959,0.03
1960,-0.03
1961,0.05
1962,0.03
1963,0.05
1964,-0.21
1965,-0.12
1966,-0.07
1967,-0.03
1968,-0.08
1969,0.04
1970,0.02
1971,-0.10
1972,0.00
1973,0.16
1974,-0.08
1975,-0.02
1976,-0.13
1977,0.17
1978,0.07
1979,0.15
1980,0.25
1981,0.31
1982,0.11
1983,0.29
1984,0.14
1985,0.12
1986,0.17
1987,0.32
1988,0.37
1989,0.27
1990,0.43
1991,0.42
1992,0.21
1993,0.22
1994,0.30
1995,0.42
1996,0.32
1997,0.45
1998,0.60
1999,0.40
2000,0.39
2001,0.53
2002,0.61
2003,0.61
2004,0.52
2005,0.67
2006,0.62
2007,0.63
2008,0.52
2009,0.62
2010,0.70
2011,0.57
2012,0.61
2013,0.65
2014,0.73
2015,0.87
2016,0.99
2017,0.91
2018,0.82
2019,0.94
2020,0.98
2021,0.85
2022,0.89
2023,1.02